id,cast,crew
1891,"[{'cast_id': 2, 'name': 'Mark Hamill', 'character': 'Luke Skywalker'}, {'cast_id': 3, 'name': 'Harrison Ford', 'character': 'Han Solo'}, {'cast_id': 4, 'name': 'Carrie Fisher', 'character': 'Princess Leia'}, {'cast_id': 3799, 'name': 'Billy Dee Williams', 'character': 'Lando Calrissian'}, {'cast_id': 6, 'name': 'Anthony Daniels', 'character': 'C-3PO'}]","[{'crew_id': 10930, 'name': 'Irvin Kershner', 'department': 'Directing', 'job': 'Director'}]"
311,"[{'cast_id': 380, 'name': 'Robert De Niro', 'character': ""David 'Noodles' Aaronson""}, {'cast_id': 4512, 'name': 'James Woods', 'character': ""Maximilian 'Max' Bercovicz""}, {'cast_id': 4513, 'name': 'Elizabeth McGovern', 'character': 'Deborah Gelly'}, {'cast_id': 4517, 'name': 'Joe Pesci', 'character': 'Frankie Monaldi'}, {'cast_id': 4521, 'name': 'Burt Young', 'character': 'Joe'}]","[{'crew_id': 4385, 'name': 'Sergio Leone', 'department': 'Directing', 'job': 'Director'}]"
164558,"[{'cast_id': 1052109, 'name': 'Harry Styles', 'character': 'Self'}, {'cast_id': 1052107, 'name': 'Niall Horan', 'character': 'Self'}, {'cast_id': 1146050, 'name': 'Zayn Malik', 'character': 'Self'}, {'cast_id': 1052106, 'name': 'Louis Tomlinson', 'character': 'Self'}, {'cast_id': 1052108, 'name': 'Liam Payne', 'character': 'Self'}]","[{'crew_id': 57492, 'name': 'Morgan Spurlock', 'department': 'Directing', 'job': 'Director'}]"
73,"[{'cast_id': 819, 'name': 'Edward Norton', 'character': 'Derek'}, {'cast_id': 820, 'name': 'Edward Furlong', 'character': 'Danny'}, {'cast_id': 821, 'name': ""Beverly D'Angelo"", 'character': 'Doris'}, {'cast_id': 823, 'name': 'Jennifer Lien', 'character': 'Davina'}, {'cast_id': 824, 'name': 'Ethan Suplee', 'character': 'Seth'}]","[{'crew_id': 814, 'name': 'Tony Kaye', 'department': 'Directing', 'job': 'Director'}]"
568332,"[{'cast_id': 212208, 'name': 'Taylor Swift', 'character': 'Self'}, {'cast_id': 1529997, 'name': 'Charli XCX', 'character': 'Self'}, {'cast_id': 1911673, 'name': 'Camila Cabello', 'character': 'Self'}, {'cast_id': 3159931, 'name': 'David Cook', 'character': 'Self'}, {'cast_id': 1448505, 'name': 'Amos Heller', 'character': 'Self'}]","[{'crew_id': 572551, 'name': 'Paul Dugdale', 'department': 'Directing', 'job': 'Director'}]"
157336,"[{'cast_id': 10297, 'name': 'Matthew McConaughey', 'character': 'Joseph ""Coop"" Cooper'}, {'cast_id': 1813, 'name': 'Anne Hathaway', 'character': 'Dr. Amelia Brand'}, {'cast_id': 83002, 'name': 'Jessica Chastain', 'character': 'Murphy ""Murph"" Cooper'}, {'cast_id': 58549, 'name': 'Bill Irwin', 'character': 'TARS (voice)'}, {'cast_id': 9560, 'name': 'Ellen Burstyn', 'character': 'Old Murph'}]","[{'crew_id': 525, 'name': 'Christopher Nolan', 'department': 'Directing', 'job': 'Director'}]"
324857,"[{'cast_id': 587506, 'name': 'Shameik Moore', 'character': 'Miles Morales / Spider-Man (voice)'}, {'cast_id': 543505, 'name': 'Jake Johnson', 'character': 'Peter B. Parker / Spider-Man (voice)'}, {'cast_id': 130640, 'name': 'Hailee Steinfeld', 'character': 'Gwen Stacy / Spider-Woman (voice)'}, {'cast_id': 932967, 'name': 'Mahershala Ali', 'character': 'Uncle Aaron / Prowler (voice)'}, {'cast_id': 226366, 'name': 'Brian Tyree Henry', 'character': 'Jefferson Davis (voice)'}]","[{'crew_id': 59918, 'name': 'Rodney Rothman', 'department': 'Directing', 'job': 'Director'}, {'crew_id': 151007, 'name': 'Peter Ramsey', 'department': 'Directing', 'job': 'Director'}, {'crew_id': 936670, 'name': 'Bob Persichetti', 'department': 'Directing', 'job': 'Director'}]"
239459,"[{'cast_id': 17419, 'name': 'Bryan Cranston', 'character': 'Self'}, {'cast_id': 84497, 'name': 'Aaron Paul', 'character': 'Self'}, {'cast_id': 134531, 'name': 'Anna Gunn', 'character': 'Self'}, {'cast_id': 14329, 'name': 'Dean Norris', 'character': 'Self'}, {'cast_id': 59410, 'name': 'Bob Odenkirk', 'character': 'Self'}]","[{'crew_id': 1210260, 'name': 'Stuart Richardson', 'department': 'Directing', 'job': 'Director'}]"
423,"[{'cast_id': 3490, 'name': 'Adrien Brody', 'character': ""Władysław 'Władek' Szpilman""}, {'cast_id': 3491, 'name': 'Thomas Kretschmann', 'character': 'Captain Wilm Hosenfeld'}, {'cast_id': 6637, 'name': 'Frank Finlay', 'character': 'Father'}, {'cast_id': 6638, 'name': 'Maureen Lipman', 'character': 'Mother'}, {'cast_id': 6639, 'name': 'Emilia Fox', 'character': 'Dorota'}]","[{'crew_id': 3556, 'name': 'Roman Polanski', 'department': 'Directing', 'job': 'Director'}]"
121,"[{'cast_id': 109, 'name': 'Elijah Wood', 'character': 'Frodo'}, {'cast_id': 1327, 'name': 'Ian McKellen', 'character': 'Gandalf'}, {'cast_id': 882, 'name': 'Liv Tyler', 'character': 'Arwen'}, {'cast_id': 110, 'name': 'Viggo Mortensen', 'character': 'Aragorn'}, {'cast_id': 1328, 'name': 'Sean Astin', 'character': 'Sam'}]","[{'crew_id': 108, 'name': 'Peter Jackson', 'department': 'Directing', 'job': 'Director'}]"
